pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
rw 15,edge-list,52681600,struct-edge-list,53498100,vertex-pull,383127000,vertex-pull-nodiv,184797000,vertex-pull-warp,442032000,vertex-pull-warp-nodiv,354389000,vertex-push,63099900,vertex-push-warp,380550000
rw 05,edge-list,14873600,struct-edge-list,15151600,vertex-pull,93325400,vertex-pull-nodiv,47841300,vertex-pull-warp,148721000,vertex-pull-warp-nodiv,120294000,vertex-push,25248300,vertex-push-warp,128465000
,,,,,,,,,,,,,,,,
out.livejournal-links,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,463071000,struct-edge-list,464897000,vertex-pull,1774520000,vertex-pull-nodiv,494471000,vertex-pull-warp,1314580000,vertex-pull-warp-nodiv,813355000,vertex-push,700577000,vertex-push-warp,937519000
ff 50,edge-list,121560000,struct-edge-list,121805000,vertex-pull,560763000,vertex-pull-nodiv,190154000,vertex-pull-warp,542894000,vertex-pull-warp-nodiv,372525000,vertex-push,244217000,vertex-push-warp,403511000
ff 30,edge-list,51134400,struct-edge-list,51364900,vertex-pull,364052000,vertex-pull-nodiv,143334000,vertex-pull-warp,305294000,vertex-pull-warp-nodiv,218943000,vertex-push,187948000,vertex-push-warp,231295000
ff 15,edge-list,45486100,struct-edge-list,45594100,vertex-pull,387838000,vertex-pull-nodiv,146075000,vertex-pull-warp,184870000,vertex-pull-warp-nodiv,120788000,vertex-push,191241000,vertex-push-warp,130305000
ff 05,edge-list,6612370,struct-edge-list,6668120,vertex-pull,237872000,vertex-pull-nodiv,96283400,vertex-pull-warp,50113700,vertex-pull-warp-nodiv,38503600,vertex-push,134419000,vertex-push-warp,40185000
re 50,edge-list,103496000,struct-edge-list,104323000,vertex-pull,171997000,vertex-pull-nodiv,80997300,vertex-pull-warp,462110000,vertex-pull-warp-nodiv,350551000,vertex-push,108955000,vertex-push-warp,365366000
re 30,edge-list,38121600,struct-edge-list,38492800,vertex-pull,64075700,vertex-pull-nodiv,36394000,vertex-pull-warp,273208000,vertex-pull-warp-nodiv,210240000,vertex-push,39642600,vertex-push-warp,217557000
re 15,edge-list,13380900,struct-edge-list,13448300,vertex-pull,22917600,vertex-pull-nodiv,15764900,vertex-pull-warp,136203000,vertex-pull-warp-nodiv,105278000,vertex-push,14673500,vertex-push-warp,109055000
re 05,edge-list,4428320,struct-edge-list,4448930,vertex-pull,6199020,vertex-pull-nodiv,5122530,vertex-pull-warp,47168700,vertex-pull-warp-nodiv,36180600,vertex-push,4646560,vertex-push-warp,37554000
rw 50,edge-list,93356900,struct-edge-list,94023900,vertex-pull,162037000,vertex-pull-nodiv,76566600,vertex-pull-warp,457970000,vertex-pull-warp-nodiv,349493000,vertex-push,98094800,vertex-push-warp,362845000
rw 30,edge-list,36964400,struct-edge-list,37150500,vertex-pull,68949200,vertex-pull-nodiv,37117900,vertex-pull-warp,272789000,vertex-pull-warp-nodiv,210239000,vertex-push,39209300,vertex-push-warp,217397000
rw 15,edge-list,14554100,struct-edge-list,14575700,vertex-pull,26288800,vertex-pull-nodiv,16533100,vertex-pull-warp,136080000,vertex-pull-warp-nodiv,105250000,vertex-push,15785400,vertex-push-warp,109014000
rw 05,edge-list,4939070,struct-edge-list,4939650,vertex-pull,7119420,vertex-pull-nodiv,5455700,vertex-pull-warp,47159300,vertex-pull-warp-nodiv,36176200,vertex-push,5120750,vertex-push-warp,37508900
,,,,,,,,,,,,,,,,
out.wikipedia_link_en,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,1458890000,struct-edge-list,1452850000,vertex-pull,44197000000,vertex-pull-nodiv,11088300000,vertex-pull-warp,5202970000,vertex-pull-warp-nodiv,2656860000,vertex-push,2009140000,vertex-push-warp,2565770000
ff 50,edge-list,656651000,struct-edge-list,654845000,vertex-pull,11432700000,vertex-pull-nodiv,4709400000,vertex-pull-warp,2347630000,vertex-pull-warp-nodiv,1229340000,vertex-push,1173930000,vertex-push-warp,1330720000
