bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 05,edge-list,33957500,rev-edge-list,33214800,vertex-pull,12747700,vertex-push,26791600,vertex-push-warp,63408600
re 50,edge-list,1400280000,rev-edge-list,1364130000,vertex-pull,487904000,vertex-push,390972000,vertex-push-warp,1769100000
re 30,edge-list,565286000,rev-edge-list,550944000,vertex-pull,356562000,vertex-push,348095000,vertex-push-warp,1875730000
re 15,edge-list,228654000,rev-edge-list,222568000,vertex-pull,282372000,vertex-push,276491000,vertex-push-warp,1540510000
re 05,edge-list,3103980,rev-edge-list,3025350,vertex-pull,5367370,vertex-push,5628560,vertex-push-warp,29144500
rw 50,edge-list,885804000,rev-edge-list,860185000,vertex-pull,435554000,vertex-push,393145000,vertex-push-warp,1979550000
rw 30,edge-list,514028000,rev-edge-list,499074000,vertex-pull,286000000,vertex-push,299727000,vertex-push-warp,1578160000
rw 15,edge-list,251640000,rev-edge-list,243881000,vertex-pull,178178000,vertex-push,190643000,vertex-push-warp,1030310000
rw 05,edge-list,71486100,rev-edge-list,68747800,vertex-pull,62233700,vertex-push,69277500,vertex-push-warp,375357000
,,,,,,,,,,
roadNet-CA,edge-list,4893100000,rev-edge-list,4694300000,vertex-pull,1794620000,vertex-push,2322370000,vertex-push-warp,12987400000
ff 50,edge-list,3391680000,rev-edge-list,3263860000,vertex-pull,1303400000,vertex-push,1669110000,vertex-push-warp,9286650000
ff 30,edge-list,2042490000,rev-edge-list,1954520000,vertex-pull,795694000,vertex-push,985182000,vertex-push-warp,5464700000
ff 15,edge-list,455947000,rev-edge-list,439254000,vertex-pull,177041000,vertex-push,217019000,vertex-push-warp,1183270000
ff 05,edge-list,101236000,rev-edge-list,96993900,vertex-pull,38052900,vertex-push,46544900,vertex-push-warp,243545000
re 50,edge-list,4307190,rev-edge-list,4092290,vertex-pull,3775820,vertex-push,4224820,vertex-push-warp,23512900
re 30,edge-list,2406900,rev-edge-list,2284510,vertex-pull,2558290,vertex-push,3045830,vertex-push-warp,14133800
re 15,edge-list,1222770,rev-edge-list,1143030,vertex-pull,1350840,vertex-push,1555050,vertex-push-warp,7103760
re 05,edge-list,509102,rev-edge-list,483145,vertex-pull,414004,vertex-push,557042,vertex-push-warp,2895580
rw 50,edge-list,185865000,rev-edge-list,177824000,vertex-pull,103723000,vertex-push,124395000,vertex-push-warp,703867000
rw 30,edge-list,3624200,rev-edge-list,3431680,vertex-pull,2176490,vertex-push,2547060,vertex-push-warp,14138600
rw 15,edge-list,1807860,rev-edge-list,1715620,vertex-pull,1145960,vertex-push,1295300,vertex-push-warp,7124620
rw 05,edge-list,1777090,rev-edge-list,1710940,vertex-pull,1010980,vertex-push,1150910,vertex-push-warp,6000170
,,,,,,,,,,
roadNet-PA,edge-list,2697190000,rev-edge-list,2585690000,vertex-pull,1001530000,vertex-push,1266400000,vertex-push-warp,7045030000
ff 50,edge-list,1914510000,rev-edge-list,1827590000,vertex-pull,753729000,vertex-push,938378000,vertex-push-warp,5214110000
ff 30,edge-list,669854000,rev-edge-list,642816000,vertex-pull,275421000,vertex-push,335622000,vertex-push-warp,1821640000
ff 15,edge-list,254062000,rev-edge-list,244655000,vertex-pull,113658000,vertex-push,123952000,vertex-push-warp,661153000
ff 05,edge-list,50611300,rev-edge-list,48589400,vertex-pull,28659200,vertex-push,27378800,vertex-push-warp,122211000
re 50,edge-list,3686490,rev-edge-list,3550780,vertex-pull,3029520,vertex-push,3614320,vertex-push-warp,20060500
re 30,edge-list,2116040,rev-edge-list,2032020,vertex-pull,1914590,vertex-push,2219520,vertex-push-warp,12182400
re 15,edge-list,711678,rev-edge-list,675565,vertex-pull,715796,vertex-push,779165,vertex-push-warp,4111980
re 05,edge-list,335885,rev-edge-list,325199,vertex-pull,326512,vertex-push,302562,vertex-push-warp,1316590
rw 50,edge-list,8866690,rev-edge-list,8448500,vertex-pull,5137880,vertex-push,5972940,vertex-push-warp,33438600
rw 30,edge-list,5197120,rev-edge-list,4943510,vertex-pull,3222870,vertex-push,3668710,vertex-push-warp,20318200
rw 15,edge-list,1076130,rev-edge-list,1028640,vertex-pull,766466,vertex-push,765207,vertex-push-warp,4119130
rw 05,edge-list,375807,rev-edge-list,362151,vertex-pull,347479,vertex-push,310797,vertex-push-warp,1320100
,,,,,,,,,,
roadNet-TX,edge-list,4455960000,rev-edge-list,4284600000,vertex-pull,1685480000,vertex-push,2125990000,vertex-push-warp,11881800000
ff 50,edge-list,137270000,rev-edge-list,130915000,vertex-pull,58137900,vertex-push,67582300,vertex-push-warp,380962000
ff 30,edge-list,28416700,rev-edge-list,27223200,vertex-pull,12168700,vertex-push,13322400,vertex-push-warp,74755400
ff 15,edge-list,9977820,rev-edge-list,9453760,vertex-pull,4557500,vertex-push,4774130,vertex-push-warp,26281000
ff 05,edge-list,5443400,rev-edge-list,5185630,vertex-pull,2902870,vertex-push,2599720,vertex-push-warp,13439300
re 50,edge-list,3084120,rev-edge-list,2943430,vertex-pull,2763690,vertex-push,3054350,vertex-push-warp,16970200
re 30,edge-list,2626000,rev-edge-list,2532880,vertex-pull,2516380,vertex-push,2695880,vertex-push-warp,14973600
re 15,edge-list,1356420,rev-edge-list,1303490,vertex-pull,1578180,vertex-push,1463560,vertex-push-warp,7904600
re 05,edge-list,389748,rev-edge-list,373620,vertex-pull,466035,vertex-push,352184,vertex-push-warp,1802010
rw 50,edge-list,4425730,rev-edge-list,4266570,vertex-pull,2575930,vertex-push,3059650,vertex-push-warp,16982500
rw 30,edge-list,12881300,rev-edge-list,12268100,vertex-pull,7809730,vertex-push,8896510,vertex-push-warp,49824700
