pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
out.livejournal-links,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,715898000,struct-edge-list,710620000,vertex-pull,2202370000,vertex-pull-nodiv,915148000,vertex-pull-warp,2042880000,vertex-pull-warp-nodiv,1267240000,vertex-push,1377920000,vertex-push-warp,1175510000
ff 50,edge-list,207895000,struct-edge-list,205667000,vertex-pull,685127000,vertex-pull-nodiv,281690000,vertex-pull-warp,782488000,vertex-pull-warp-nodiv,540746000,vertex-push,414315000,vertex-push-warp,440273000
ff 30,edge-list,80688100,struct-edge-list,79298900,vertex-pull,434126000,vertex-pull-nodiv,174235000,vertex-pull-warp,425278000,vertex-pull-warp-nodiv,307838000,vertex-push,248672000,vertex-push-warp,232161000
ff 15,edge-list,88798400,struct-edge-list,86423100,vertex-pull,473647000,vertex-pull-nodiv,186773000,vertex-pull-warp,300305000,vertex-pull-warp-nodiv,186746000,vertex-push,266066000,vertex-push-warp,164303000
ff 05,edge-list,7871230,struct-edge-list,7723110,vertex-pull,263560000,vertex-pull-nodiv,94794000,vertex-pull-warp,62378800,vertex-pull-warp-nodiv,48900000,vertex-push,138579000,vertex-push-warp,33447200
re 50,edge-list,123505000,struct-edge-list,123015000,vertex-pull,201643000,vertex-pull-nodiv,89929200,vertex-pull-warp,588969000,vertex-pull-warp-nodiv,480283000,vertex-push,142473000,vertex-push-warp,326343000
re 30,edge-list,44343400,struct-edge-list,44186700,vertex-pull,69587700,vertex-pull-nodiv,33304800,vertex-pull-warp,341731000,vertex-pull-warp-nodiv,282553000,vertex-push,50377600,vertex-push-warp,186502000
re 15,edge-list,14856500,struct-edge-list,14795200,vertex-pull,22933200,vertex-pull-nodiv,12118500,vertex-pull-warp,169125000,vertex-pull-warp-nodiv,139928000,vertex-push,17243800,vertex-push-warp,91670400
re 05,edge-list,4188820,struct-edge-list,4157600,vertex-pull,5618570,vertex-pull-nodiv,3438360,vertex-pull-warp,56985100,vertex-pull-warp-nodiv,47164300,vertex-push,4703730,vertex-push-warp,30788300
rw 50,edge-list,107661000,struct-edge-list,107110000,vertex-pull,184745000,vertex-pull-nodiv,81952600,vertex-pull-warp,581093000,vertex-pull-warp-nodiv,475347000,vertex-push,130078000,vertex-push-warp,321108000
rw 30,edge-list,42089100,struct-edge-list,41836400,vertex-pull,72670200,vertex-pull-nodiv,34168700,vertex-pull-warp,341807000,vertex-pull-warp-nodiv,280770000,vertex-push,51601400,vertex-push-warp,186271000
rw 15,edge-list,15791400,struct-edge-list,15537000,vertex-pull,25615600,vertex-pull-nodiv,13125400,vertex-pull-warp,169417000,vertex-pull-warp-nodiv,139316000,vertex-push,18924100,vertex-push-warp,91481900
rw 05,edge-list,4706320,struct-edge-list,4612910,vertex-pull,6429900,vertex-pull-nodiv,3754480,vertex-pull-warp,57118500,vertex-pull-warp-nodiv,47040000,vertex-push,5202810,vertex-push-warp,30787300
,,,,,,,,,,,,,,,,
out.wikipedia_link_en,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,2252390000,struct-edge-list,2216120000,vertex-pull,45751200000,vertex-pull-nodiv,16693200000,vertex-pull-warp,8848020000,vertex-pull-warp-nodiv,4725010000,vertex-push,4168490000,vertex-push-warp,3470140000
ff 50,edge-list,1109880000,struct-edge-list,1084650000,vertex-pull,12984200000,vertex-pull-nodiv,4809480000,vertex-pull-warp,3902940000,vertex-pull-warp-nodiv,2121100000,vertex-push,2497540000,vertex-push-warp,1918500000
ff 30,edge-list,309517000,struct-edge-list,302989000,vertex-pull,2453390000,vertex-pull-nodiv,950346000,vertex-pull-warp,1399910000,vertex-pull-warp-nodiv,881514000,vertex-push,1014030000,vertex-push-warp,841735000
ff 15,edge-list,93550200,struct-edge-list,91477200,vertex-pull,737651000,vertex-pull-nodiv,273967000,vertex-pull-warp,552794000,vertex-pull-warp-nodiv,380918000,vertex-push,402376000,vertex-push-warp,351529000
ff 05,edge-list,18094100,struct-edge-list,17718200,vertex-pull,105951000,vertex-pull-nodiv,40998700,vertex-pull-warp,151426000,vertex-pull-warp-nodiv,114214000,vertex-push,83235200,vertex-push-warp,96674600
re 50,edge-list,310413000,struct-edge-list,307269000,vertex-pull,2861240000,vertex-pull-nodiv,1072070000,vertex-pull-warp,1538610000,vertex-pull-warp-nodiv,1146140000,vertex-push,448656000,vertex-push-warp,832399000
re 30,edge-list,92096700,struct-edge-list,91244400,vertex-pull,662164000,vertex-pull-nodiv,255428000,vertex-pull-warp,733285000,vertex-pull-warp-nodiv,610436000,vertex-push,111856000,vertex-push-warp,433736000
re 15,edge-list,29494000,struct-edge-list,29213700,vertex-pull,169106000,vertex-pull-nodiv,68287800,vertex-pull-warp,333176000,vertex-pull-warp-nodiv,291503000,vertex-push,34334600,vertex-push-warp,211535000
re 05,edge-list,8201050,struct-edge-list,8123240,vertex-pull,34967100,vertex-pull-nodiv,14971000,vertex-pull-warp,103847000,vertex-pull-warp-nodiv,94497300,vertex-push,9341010,vertex-push-warp,70626500
rw 50,edge-list,211905000,struct-edge-list,210454000,vertex-pull,2497640000,vertex-pull-nodiv,919456000,vertex-pull-warp,1272040000,vertex-pull-warp-nodiv,1040390000,vertex-push,332991000,vertex-push-warp,765216000
rw 30,edge-list,102853000,struct-edge-list,102202000,vertex-pull,1140030000,vertex-pull-nodiv,424965000,vertex-pull-warp,735501000,vertex-pull-warp-nodiv,613376000,vertex-push,162163000,vertex-push-warp,444432000
