bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 05,edge-list,53376900,rev-edge-list,53426800,vertex-pull,42946300,vertex-push,26908400,vertex-push-warp,119721000
re 50,edge-list,2379940,rev-edge-list,2483260,vertex-pull,3920340,vertex-push,1806030,vertex-push-warp,10294200
re 30,edge-list,1306620,rev-edge-list,1325590,vertex-pull,2299980,vertex-push,1119000,vertex-push-warp,6241820
re 15,edge-list,660927,rev-edge-list,652680,vertex-pull,1168100,vertex-push,610136,vertex-push-warp,3256400
re 05,edge-list,275203,rev-edge-list,270327,vertex-pull,420901,vertex-push,270155,vertex-push-warp,1171680
rw 50,edge-list,103090000,rev-edge-list,103787000,vertex-pull,119249000,vertex-push,53000900,vertex-push-warp,307891000
rw 30,edge-list,1978000,rev-edge-list,1981620,vertex-pull,2399560,vertex-push,1116650,vertex-push-warp,6246490
rw 15,edge-list,994901,rev-edge-list,984741,vertex-pull,1238500,vertex-push,608350,vertex-push-warp,3257760
rw 05,edge-list,941482,rev-edge-list,934455,vertex-pull,1105320,vertex-push,650205,vertex-push-warp,2912810
,,,,,,,,,,
roadNet-PA.txt,1,,2,,3,,4,,5,
graph,edge-list,1520040000,rev-edge-list,1524050000,vertex-pull,1091130000,vertex-push,546549000,vertex-push-warp,3118930000
ff 50,edge-list,1062900000,rev-edge-list,1066360000,vertex-pull,787073000,vertex-push,405652000,vertex-push-warp,2270730000
ff 30,edge-list,372294000,rev-edge-list,373760000,vertex-pull,290308000,vertex-push,153930000,vertex-push-warp,821235000
ff 15,edge-list,140229000,rev-edge-list,140476000,vertex-pull,107020000,vertex-push,61232100,vertex-push-warp,301448000
ff 05,edge-list,30827200,rev-edge-list,31082800,vertex-pull,23804500,vertex-push,14781400,vertex-push-warp,64749500
re 50,edge-list,2024420,rev-edge-list,2097280,vertex-pull,3286720,vertex-push,1541570,vertex-push-warp,8692790
re 30,edge-list,1147440,rev-edge-list,1147720,vertex-pull,1957810,vertex-push,992627,vertex-push-warp,5360040
re 15,edge-list,402171,rev-edge-list,402319,vertex-pull,661768,vertex-push,374846,vertex-push-warp,1818170
re 05,edge-list,180237,rev-edge-list,167633,vertex-pull,262574,vertex-push,166775,vertex-push-warp,688831
rw 50,edge-list,4860350,rev-edge-list,4900840,vertex-pull,5612000,vertex-push,2564130,vertex-push-warp,14470500
rw 30,edge-list,2813600,rev-edge-list,2805020,vertex-pull,3416030,vertex-push,1644440,vertex-push-warp,8922590
rw 15,edge-list,617290,rev-edge-list,600347,vertex-pull,699941,vertex-push,372910,vertex-push-warp,1819250
rw 05,edge-list,232364,rev-edge-list,234231,vertex-pull,275837,vertex-push,161909,vertex-push-warp,688544
,,,,,,,,,,
roadNet-TX.txt,1,,2,,3,,4,,5,
graph,edge-list,2517500000,rev-edge-list,2523520000,vertex-pull,1829080000,vertex-push,912282000,vertex-push-warp,5246920000
ff 50,edge-list,76148500,rev-edge-list,76382800,vertex-pull,63762900,vertex-push,28440400,vertex-push-warp,162840000
ff 30,edge-list,15629700,rev-edge-list,15690300,vertex-pull,12975000,vertex-push,6003700,vertex-push-warp,32780300
ff 15,edge-list,5422520,rev-edge-list,5423340,vertex-pull,4596640,vertex-push,2197620,vertex-push-warp,11442900
ff 05,edge-list,3200040,rev-edge-list,3217570,vertex-pull,2556660,vertex-push,1516940,vertex-push-warp,6325200
re 50,edge-list,1693490,rev-edge-list,1762710,vertex-pull,2761000,vertex-push,1296910,vertex-push-warp,7262470
re 30,edge-list,1421760,rev-edge-list,1425660,vertex-pull,2407630,vertex-push,1201160,vertex-push-warp,6570820
re 15,edge-list,740047,rev-edge-list,731523,vertex-pull,1233340,vertex-push,666900,vertex-push-warp,3436740
re 05,edge-list,222084,rev-edge-list,215500,vertex-pull,312184,vertex-push,211278,vertex-push-warp,849974
rw 50,edge-list,2452600,rev-edge-list,2474320,vertex-pull,2826560,vertex-push,1294780,vertex-push-warp,7265870
rw 30,edge-list,6968210,rev-edge-list,6977580,vertex-pull,8290030,vertex-push,3969050,vertex-push-warp,21853500
rw 15,edge-list,1073580,rev-edge-list,1066700,vertex-pull,1302010,vertex-push,663757,vertex-push-warp,3437140
rw 05,edge-list,551274,rev-edge-list,551805,vertex-pull,656858,vertex-push,413158,vertex-push-warp,1690140
,,,,,,,,,,
soc-LiveJournal1.txt,1,,2,,3,,4,,5,
graph,edge-list,943181000,rev-edge-list,1039960000,vertex-pull,414480000,vertex-push,187004000,vertex-push-warp,459718000
ff 50,edge-list,106662000,rev-edge-list,116505000,vertex-pull,93944200,vertex-push,58856800,vertex-push-warp,101492000
ff 30,edge-list,44514400,rev-edge-list,48111300,vertex-pull,41837800,vertex-push,41527800,vertex-push-warp,59566900
ff 15,edge-list,13389200,rev-edge-list,14292800,vertex-pull,13389500,vertex-push,23601100,vertex-push-warp,28801600
ff 05,edge-list,2526170,rev-edge-list,2646480,vertex-pull,3162850,vertex-push,6962370,vertex-push-warp,8162040
re 50,edge-list,134893000,rev-edge-list,150233000,vertex-pull,180603000,vertex-push,79974300,vertex-push-warp,410279000
re 30,edge-list,72361700,rev-edge-list,78515800,vertex-pull,153180000,vertex-push,67324400,vertex-push-warp,371088000
re 15,edge-list,1096940,rev-edge-list,1153950,vertex-pull,3218320,vertex-push,1362480,vertex-push-warp,7671130
re 05,edge-list,346934,rev-edge-list,350016,vertex-pull,991057,vertex-push,502401,vertex-push-warp,2617920
rw 50,edge-list,145920000,rev-edge-list,163151000,vertex-pull,168993000,vertex-push,77607500,vertex-push-warp,415480000
rw 30,edge-list,81343100,rev-edge-list,89844400,vertex-pull,123291000,vertex-push,57982700,vertex-push-warp,318263000
rw 15,edge-list,44508900,rev-edge-list,48206300,vertex-pull,81588700,vertex-push,39238400,vertex-push-warp,213430000
rw 05,edge-list,26078100,rev-edge-list,27338800,vertex-pull,50869800,vertex-push,25560300,vertex-push-warp,133198000
,,,,,,,,,,
web-Google.txt,1,,2,,3,,4,,5,
graph,edge-list,153307000,rev-edge-list,157920000,vertex-pull,160603000,vertex-push,37805000,vertex-push-warp,166635000
ff 50,edge-list,41740600,rev-edge-list,43798900,vertex-pull,40572500,vertex-push,15625300,vertex-push-warp,53675600
ff 30,edge-list,15487200,rev-edge-list,16189000,vertex-pull,22286000,vertex-push,7246660,vertex-push-warp,25146700
ff 15,edge-list,5754880,rev-edge-list,6008810,vertex-pull,12289800,vertex-push,3873210,vertex-push-warp,11093900
ff 05,edge-list,1811850,rev-edge-list,1866670,vertex-pull,7482740,vertex-push,2199460,vertex-push-warp,3723450
re 50,edge-list,1549600,rev-edge-list,1671770,vertex-pull,4558300,vertex-push,1265750,vertex-push-warp,7026700
re 30,edge-list,504271,rev-edge-list,525788,vertex-pull,1506080,vertex-push,546391,vertex-push-warp,2934330
re 15,edge-list,246893,rev-edge-list,254343,vertex-pull,706770,vertex-push,313573,vertex-push-warp,1493790
re 05,edge-list,120792,rev-edge-list,118437,vertex-pull,268355,vertex-push,157513,vertex-push-warp,530164
rw 50,edge-list,28939600,rev-edge-list,31273200,vertex-pull,53173100,vertex-push,19279600,vertex-push-warp,92869600
rw 30,edge-list,24042500,rev-edge-list,25746900,vertex-pull,50369800,vertex-push,18505400,vertex-push-warp,91570300
rw 15,edge-list,3247920,rev-edge-list,3445450,vertex-pull,7350950,vertex-push,2597580,vertex-push-warp,12636000
rw 05,edge-list,424697,rev-edge-list,444029,vertex-pull,735180,vertex-push,381173,vertex-push-warp,1313260
,,,,,,,,,,
wiki-Talk.txt,1,,2,,3,,4,,5,
graph,edge-list,9088160,rev-edge-list,9493520,vertex-pull,17512300,vertex-push,4295320,vertex-push-warp,24940200
ff 50,edge-list,11895800,rev-edge-list,12347500,vertex-pull,14885400,vertex-push,68800200,vertex-push-warp,45424000
ff 30,edge-list,6508820,rev-edge-list,6691190,vertex-pull,8546820,vertex-push,72918900,vertex-push-warp,26936900
ff 15,edge-list,2667010,rev-edge-list,2761120,vertex-pull,3537830,vertex-push,50744200,vertex-push-warp,11994400
ff 05,edge-list,894253,rev-edge-list,888414,vertex-pull,1172270,vertex-push,33397100,vertex-push-warp,4576790
re 50,edge-list,15316100,rev-edge-list,16130500,vertex-pull,20171300,vertex-push,111412000,vertex-push-warp,57945400
re 30,edge-list,9352150,rev-edge-list,9840780,vertex-pull,13504200,vertex-push,55669700,vertex-push-warp,38671700
re 15,edge-list,5284050,rev-edge-list,5523540,vertex-pull,8186880,vertex-push,28395400,vertex-push-warp,23573500
re 05,edge-list,2366550,rev-edge-list,2487770,vertex-pull,3906520,vertex-push,6121140,vertex-push-warp,10884300
rw 50,edge-list,20643800,rev-edge-list,21936200,vertex-pull,23618300,vertex-push,46000000,vertex-push-warp,63998100
rw 30,edge-list,11922900,rev-edge-list,12693700,vertex-pull,14970400,vertex-push,21706500,vertex-push-warp,38600400
rw 15,edge-list,6333080,rev-edge-list,6670930,vertex-pull,9566350,vertex-push,8453080,vertex-push-warp,23258000
rw 05,edge-list,2801880,rev-edge-list,3015530,vertex-pull,5036090,vertex-push,3490450,vertex-push-warp,11890700
,,,,,,,,,,
com-amazon.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,58656000,rev-edge-list,60978800,vertex-pull,31954100,vertex-push,17146300,vertex-push-warp,67568100
ff 50,edge-list,10162300,rev-edge-list,10431200,vertex-pull,9617800,vertex-push,4605600,vertex-push-warp,15732800
ff 30,edge-list,5268240,rev-edge-list,5363220,vertex-pull,7380790,vertex-push,3588280,vertex-push-warp,9652480
ff 15,edge-list,2487460,rev-edge-list,2548050,vertex-pull,3174170,vertex-push,2575080,vertex-push-warp,5174480
ff 05,edge-list,932764,rev-edge-list,937139,vertex-pull,1875390,vertex-push,1881030,vertex-push-warp,1836980
re 50,edge-list,4284050,rev-edge-list,4469600,vertex-pull,6287770,vertex-push,2757870,vertex-push-warp,13566300
re 30,edge-list,477835,rev-edge-list,494402,vertex-pull,781962,vertex-push,408800,vertex-push-warp,1751670
re 15,edge-list,177608,rev-edge-list,171788,vertex-pull,286784,vertex-push,162997,vertex-push-warp,669764
re 05,edge-list,148705,rev-edge-list,148379,vertex-pull,163601,vertex-push,155165,vertex-push-warp,355783
rw 50,edge-list,26876200,rev-edge-list,27087300,vertex-pull,26226600,vertex-push,13650700,vertex-push-warp,60151800
rw 30,edge-list,482503,rev-edge-list,484322,vertex-pull,625386,vertex-push,272216,vertex-push-warp,1172360
rw 15,edge-list,288487,rev-edge-list,271486,vertex-pull,334720,vertex-push,167161,vertex-push-warp,670557
rw 05,edge-list,601209,rev-edge-list,572340,vertex-pull,462744,vertex-push,382931,vertex-push-warp,853023
,,,,,,,,,,
com-dblp.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,29339400,rev-edge-list,30237200,vertex-pull,15134300,vertex-push,8767420,vertex-push-warp,31071900
ff 50,edge-list,6508850,rev-edge-list,6770770,vertex-pull,4981230,vertex-push,2951310,vertex-push-warp,9197250
ff 30,edge-list,3141820,rev-edge-list,3218680,vertex-pull,2589890,vertex-push,2178600,vertex-push-warp,5183990
ff 15,edge-list,1382300,rev-edge-list,1387640,vertex-pull,1234380,vertex-push,1593690,vertex-push-warp,2740100
ff 05,edge-list,560334,rev-edge-list,534436,vertex-pull,720566,vertex-push,1170020,vertex-push-warp,1067500
re 50,edge-list,9248830,rev-edge-list,9856540,vertex-pull,10205000,vertex-push,5725710,vertex-push-warp,25656700
re 30,edge-list,6544880,rev-edge-list,6670570,vertex-pull,8807400,vertex-push,5223860,vertex-push-warp,21969600
re 15,edge-list,283191,rev-edge-list,263934,vertex-pull,420565,vertex-push,241500,vertex-push-warp,1001030
re 05,edge-list,151876,rev-edge-list,138762,vertex-pull,150540,vertex-push,147727,vertex-push-warp,323565
rw 50,edge-list,10528000,rev-edge-list,10787400,vertex-pull,9498740,vertex-push,5301320,vertex-push-warp,22791800
rw 30,edge-list,7137700,rev-edge-list,7211560,vertex-pull,7344840,vertex-push,4348850,vertex-push-warp,18135700
rw 15,edge-list,6575050,rev-edge-list,6348640,vertex-pull,7050410,vertex-push,3976110,vertex-push-warp,16414400
rw 05,edge-list,482447,rev-edge-list,420032,vertex-pull,420521,vertex-push,380867,vertex-push-warp,860651
,,,,,,,,,,
com-lj.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,881917000,rev-edge-list,974374000,vertex-pull,341414000,vertex-push,163803000,vertex-push-warp,369603000
ff 50,edge-list,170157000,rev-edge-list,186536000,vertex-pull,112947000,vertex-push,59463000,vertex-push-warp,103693000
